hist_id,slice,side,part ID,structure,area,psa_ncam
6377,1,p,,DG PL hilus,X,X
6377,1,p,,DG-ML,15839,24.776
6377,2,l,1,CA1 SLM,10169,13.527
6377,2,l,1,CA4 pyr,12908,12.762
6377,2,l,1,DG PL hilus,16210,17.666
6377,2,l,1,DG-ML,31036,15.458
6377,2,p,,CA1 SLM,6481,14.791
6377,2,p,,CA4 pyr,16489,14.339
6377,2,p,,DG PL hilus,7745,18.387
6377,2,p,,DG-ML,14205,16.408
6377,3,l,,CA1 SLM,7639,14.844
6377,3,l,,CA4 pyr,27941,8.879
6377,3,l,,DG PL hilus,18185,14.574
6377,3,l,,DG-ML,18099,14.085
6377,3,p,,CA1 SLM,3489,14.962
6377,3,p,,CA4 pyr,9455,12.1
6377,3,p,,DG PL hilus,12243,16.569
6377,3,p,,DG-ML,10929,13.29
6377,4,l,,CA1 SLM,X,X
6377,4,l,,CA4 pyr,X,X
6377,4,l,,DG PL hilus,X,X
6377,4,l,,DG-ML,X,X
6377,4,p,,CA1 SLM,5677,18.277
6377,4,p,,CA4 pyr,7990,13.173
6377,4,p,,DG PL hilus,5846,15.96
6377,4,p,,DG-ML,6960,16.774
6377,5,l,2,CA1 SLM,7941,12.353
6377,5,l,2,CA4 pyr,10069,9.841
6377,5,l,2,DG PL hilus,13107,9.456
6377,5,l,2,DG-ML,16593,9.996
6377,5,p,,CA1 SLM,18229,9.397
6377,5,p,,CA4 pyr,9524,8.768
6377,5,p,,DG PL hilus,20351,11.332
6377,5,p,,DG-ML,19990,10.824
6377,6,l,,CA1 SLM,8217,12.063
6377,6,l,,CA4 pyr,20423,8.803
6377,6,l,1,DG PL hilus,25183,11.828
6377,6,l,,DG-ML,17634,11.382
6377,6,p,1,CA1 SLM,12287,10.775
6377,6,p,2,CA4 pyr,8398,9.24
6377,6,p,1,DG PL hilus,14728,12.505
6377,6,p,1,DG-ML,30307,8.714
6377,7,l,,CA1 SLM,9202,13.378
6377,7,l,,CA4 pyr,6723,9.545
6377,7,l,,DG PL hilus,22564,10.472
6377,7,l,,DG-ML,19847,11.331
6377,7,p,,CA1 SLM,14675,12.75
